job_title,company,location,location,country,job_category,avg_salary_usd,seniority,skill_python,skill_r,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_sas,skill_spark,skill_aws,skill_azure,skill_machine_learning,skill_deep_learning,skill_statistics,skill_hadoop,skill_java,skill_scala,skill_git,skill_docker,skill_pandas,skill_numpy,skill_scikit,skill_tensorflow,skill_pytorch,skill_nlp,skill_data_visualization,skill_etl
Data Analyst,NYU Langone Health,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Data Analyst,BulbHead,"Fairfield, NJ",NJ,USA,Data Analyst,51.5,Mid-Level,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA ANALYST,Montefiore Medical,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Analyst,Known,"New York, NY",NY,USA,Data Analyst,51.5,Senior,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Investment Advisory Data Analyst,Advisor Group,"Jersey City, NJ",NJ,USA,Data Analyst,51.5,Mid-Level,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustainability Data Analyst,CodeGreen Solutions,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Undertone,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Clinical Data Analyst,NYSTEC,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
DATA PROGRAMMER/ANALYST,"Education Development Center, Inc.","New York, NY",NY,USA,Other IT Role,51.5,Mid-Level,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Teachers Pay Teachers,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Product Analyst, Data Science",Google,"New York, NY",NY,USA,Other IT Role,51.5,Mid-Level,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Science Analyst,MUSIC & Entertainment,"New York, NY",NY,USA,Other IT Role,51.5,Mid-Level,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst - Intex Developer,Macquarie Group,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Andiamo,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Entry Level / Jr. Data Analyst,Dash Technologies Inc,"New York, NY",NY,USA,Data Analyst,51.5,Junior,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,Hearst Communications,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data + Business Intelligence Analyst,Duolingo,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
"Data Analyst, Product",Ro,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Data Analyst Entry Level,Endai,"New York, NY",NY,USA,Data Analyst,51.5,Junior,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Data Analyst,BlueLabs,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Data Analyst,Revel,"Brooklyn, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Data Analyst,NALLAS CORPORATION,"Jersey City, NJ",NJ,USA,Data Analyst,66.5,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Pozent,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Science Analyst, Capital Markets",SoFi,"New York, NY",NY,USA,Other IT Role,66.5,Mid-Level,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Data Analyst (Games),Carry1st,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Analyst/Associate Global Markets Credit Data Analyst,Bank of America,"New York, NY",NY,USA,Data Analyst,66.5,Junior,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Business Analyst,Clear Street,"New York, NY",NY,USA,Business Analyst,66.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,Nutech Information Systems,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Analyst/Engineer,NYU Langone Health,"New York, NY",NY,USA,Other IT Role,66.5,Mid-Level,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,The Trevor Project,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Business Analyst, Data Platforms",Pinto,"New York, NY",NY,USA,Business Analyst,66.5,Mid-Level,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Behavioral Data Analyst,AB InBev,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Data Analyst,Whip Media Group,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst -1+ year Contract - NYC,Two95 International Inc.,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Vettery,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Data Analyst,"Nesco Resource, LLC","New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising Data Analyst,Hearst Communications,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Data Analyst,MediaMath,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Market Data Reporting Analyst,Jordan & Jordan,"New York, NY",NY,USA,Other IT Role,66.5,Mid-Level,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senior Analyst, Data Science",Roku,"New York, NY",NY,USA,Other IT Role,66.5,Senior,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Senior Data Analyst, Disney+",Walt Disney Co.,"New York, NY",NY,USA,Data Analyst,66.5,Senior,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Office of the CAO | Reference Data, Project Manager/Business Analyst",Citadel,"New York, NY",NY,USA,Business Analyst,66.5,Mid-Level,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Data Analyst,Xoriant Corporation,"Jersey City, NJ",NJ,USA,Data Analyst,66.5,Mid-Level,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Analyst,Gemini,"New York, NY",NY,USA,Data Analyst,66.5,Senior,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Data Scientist / Big Data Analytics Analyst,"TSR, Inc.","Weehawken, NJ",NJ,USA,Data Scientist/ML,66.5,Mid-Level,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Data Reporting Analyst,NADAP NYS INC.,"New York, NY",NY,USA,Other IT Role,66.5,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Principal Data Analyst, LATAM - Disney Streaming Services",Walt Disney Co.,"New York, NY",NY,USA,Data Analyst,66.5,Senior,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Data Analyst II,Fragomen Worldwide,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Data Analyst - Environmental, Social, and Governance",Bloomberg,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Data Analyst,Real Capital Analytics,"New York, NY",NY,USA,Data Analyst,66.5,Mid-Level,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Data Analyst, Revenue Analytics",Ro,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Data Analyst - Data Acquisition / Data Lineage,Perficient,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Data Analyst - Data Scanning utilizing Rochade,Perficient,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Data Analyst - Stitching,Perficient,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Junior Data Analyst,Kforce,"New York, NY",NY,USA,Data Analyst,69.5,Junior,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"Data Analyst, Retail Media",Criteo,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Data Analyst,Royal Communications,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portfolio Data Analyst,Neuberger Berman,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Analyst,Greater New York Mutual Insurance Companies (GNY),"New York, NY",NY,USA,Other IT Role,69.5,Mid-Level,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data/Reporting Analyst,Diverse Lynx,"New York, NY",NY,USA,Other IT Role,69.5,Mid-Level,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst 2,eTeam Inc.,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entry Level Data Analyst,impakt Advisors,"New York, NY",NY,USA,Data Analyst,69.5,Junior,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marketing Data Analyst,Current,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Data/Information Mgt Analyst,Citi,"New York, NY",NY,USA,Other IT Role,69.5,Mid-Level,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Business Data Analyst,Axelon Services Corporation,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Information Systems Officer (Data Analyst),United Nations,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Media Science Big Data Analyst,"Discovery Communications, Inc.","New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Data Analyst,Randstad,"Jersey City, NJ",NJ,USA,Data Analyst,69.5,Mid-Level,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Mulberry Technology,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Data analyst with Python,Two95 International Inc.,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,SoftStandard Solutions,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"EDO, Inc.","New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Healthcare Data Analyst, Qsight",Guidepoint,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA/Data Analyst,Mitchell Martin,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst Python,Lorven Technologies Inc,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"Data Analyst, Bitcoin Trading Firm",Fintech Recruiters,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Data Analyst-BA,Sphinix Network Solutions Inc.,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analytics Solutions Analyst,Praescient Analytics,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
Quantitative Data Analyst,Global Atlantic Financial Group,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,FINRA,"New York, NY",NY,USA,Data Analyst,69.5,Mid-Level,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,NYU Langone Medical Center,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Descriptive Analytics Data Analyst, IB",Jefferies,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,RGP,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Tachyon Technologies,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Data Analyst,Apex Systems,"Jersey City, NJ",NJ,USA,Data Analyst,69.0,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Hagerty Consulting,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Gainful Health,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Business Data Analyst,Cortex consultants LLC,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Medly Pharmacy,"Brooklyn, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Healthcare Data Analyst,Fair Health,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Supply Chain Data Analyst,Peloton Interactive,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Data Analyst - IBM Tool Set,ektello,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Analyst-Data Integrity,"Premier, Inc.","New York, NY",NY,USA,Other IT Role,69.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reference Data Operations Analyst - Index Instrument, Associate",JPMorgan Chase,"New York, NY",NY,USA,Other IT Role,69.0,Junior,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Fund for Public Health,"Long Island City, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data & Service Health Analyst,BlueVoyant,"New York, NY",NY,USA,Other IT Role,69.0,Mid-Level,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Data/Systems Analyst,Crossfire Consulting Corporation,"New York, NY",NY,USA,Other IT Role,69.0,Mid-Level,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Reliable Software Resources,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Hyde Leadership Brooklyn,"Brooklyn, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Vertex Intel Systems,"Jersey City, NJ",NJ,USA,Data Analyst,69.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst Intern,My Job Tank,"Jersey City, NJ",NJ,USA,Data Analyst,69.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",Cowen,"New York, NY",NY,USA,Data Analyst,69.0,Junior,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Data Reporting Analyst,Robert Half,"New York, NY",NY,USA,Other IT Role,69.0,Mid-Level,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,FJA-US Inc.,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Averity,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,Capgemini,"Jersey City, NJ",NJ,USA,Data Analyst,69.0,Mid-Level,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ERP Data Analyst,Wildlife Conservation Society,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Asembia,"Florham Park, NJ",NJ,USA,Data Analyst,69.0,Mid-Level,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Healthcare Data/Reporting Analyst,Vesta Healthcare,"New York, NY",NY,USA,Other IT Role,69.0,Mid-Level,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBM Data Analyst,1199SEIU Funds,"New York, NY",NY,USA,Data Analyst,69.0,Mid-Level,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst (Temporary Assignment),Nutrafol,"New York, NY",NY,USA,Data Analyst,72.0,Mid-Level,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,New York Life Insurance Co,"New York, NY",NY,USA,Data Analyst,72.0,Mid-Level,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Market Data Analyst,"EDP World, Inc.","New York, NY",NY,USA,Data Analyst,72.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Phyton Talent Advisors,"Jersey City, NJ",NJ,USA,Data Analyst,72.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Data Analyst,"Staffigo Technical Services, LLC","New York, NY",NY,USA,Data Analyst,72.0,Junior,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Microsoft Dynamics CRM Data Analyst,IBM,"New York, NY",NY,USA,Data Analyst,72.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Practice Analyst Data,Northwell Health,"Manhasset, NY",NY,USA,Other IT Role,72.0,Mid-Level,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buyside - Data Scientist/Research Analyst,Huxley,"New York, NY",NY,USA,Data Scientist/ML,72.0,Mid-Level,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst - Healthcare Provider Networks and Formularies,Vericred,"New York, NY",NY,USA,Data Analyst,72.0,Mid-Level,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Electronic Trading Data Analyst,Scotiabank,"New York, NY",NY,USA,Data Analyst,72.0,Mid-Level,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Data Analyst, Center for Developing Brain",Child Mind Institute,"New York, NY",NY,USA,Data Analyst,72.0,Mid-Level,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
