job_title,company,location,country,job_category,avg_salary_lpa,min_salary_lpa,max_salary_lpa,avg_experience,min_experience,max_experience,seniority,skill_python,skill_java,skill_javascript,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_react,skill_angular,skill_aws,skill_azure
Business Systems Consultant 4,Wells Fargo India Solutions Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,9.0,8.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Teksystems is Hiring for Polish Language Specialist,Allegis Services India Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Salesforce Developer- 3 to 10 Years at Capgemini Hyderabad & Pune,Capgemini,Pune,India,Other IT Role,,,,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager - Risk Investigations,Amazon India Software Dev Centre Pvt Ltd,Hyderabad,India,Other IT Role,,,,5.0,4.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Business Development Executives,Skyshade Daylights Pvt. Ltd.,Mumbai,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager - Production Injectables for Leading Pharma Company in India,BVR People Consulting,Hyderabad,India,Other IT Role,,,,10.5,8.0,13.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Sr Mgr Sales and Marketing- F&B,HUSYS Consultancy Pvt. Ltd,Hyderabad,India,Other IT Role,,,,9.0,8.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
System Analysts,Apps Solutions Inc,Chennai,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Area Business Manager - Institutional Sales - Pharma - Hyderabad,Forret India Private Limited,Hyderabad,India,Other IT Role,,,,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Siebel Admin,HighPoints Technologies India (P) Ltd.,Bangalore,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sr. ABAP Technical Architect,Prolix Technologies Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,9.5,7.0,12.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
MS Dynamics Ax,Unitforce technologies Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Front End/ Web Developer,Grid Logic Software Private Limited,Hyderabad,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Assistant Professor- Estimation,NICMAR,Hyderabad,India,Other IT Role,,,,5.5,4.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Weblogic & Jboss Admin,Unitforce technologies Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Hiring for Relationship Manager for Hyderabad,Landmark Insurance brokers Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Process Developer,Grid Logic Software Private Limited,Mumbai,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Web Designer,Oceanic e-Tech Solutions Pvt. Ltd,Hyderabad,India,UI/UX Designer,0.5,1.0,0.0,1.5,1.0,2.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
RM / Sr. RM - Government Banking Group,AddRec Solutions Pvt.Ltd.,Hyderabad,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
TGT (VI & XII)- Psychology,GIIS Hyderabad,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Client Reporting Administrator,Invesco (Hyderabad) Pvt Ltd,Hyderabad,India,Other IT Role,,,,2.0,1.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Business Development Manager,IIC Technologies Ltd.,Hyderabad,India,Other IT Role,,,,5.0,4.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Urgent Opening with Our Client for SAP Mobility,Han Digital Solution (P) Ltd,Bangalore,India,Other IT Role,,,,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Asst Manager - Quality Assurance,HERITAGE FOODS LIMITED,Hyderabad,India,Other IT Role,,,,6.5,5.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Linux Admin-3to 8 Years Bangalore, Hyderabad Location",Unitforce technologies Pvt. Ltd.,Bangalore,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
IT Recruiter-exp:0-3 Years-hyderabad,Shell Infotech,Hyderabad,India,Other IT Role,0.5,1.0,0.0,1.5,0.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
IT Analyst (Irving),"Oberon IT, Inc",Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Teamcenter Developer,Prolim Infosystems Pvt Ltd.,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
java j2ee,Ankit Bhatnagar Consultant,Hyderabad,India,Other IT Role,,,,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Architect (Sharepoint),Evoke Technologies Pvt Ltd,Hyderabad,India,Other IT Role,,,,10.5,8.0,13.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Trial Lead,Novartis Healthcare Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,11.0,10.0,12.0,Senior,0,0,0,0,0,0,0,0,0,0,0
SAP ABAP Technical Supporter_Hyderabad,Rectitude work force solutions Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,2.5,2.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Microsoft Lync Administration,Unitforce technologies Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
IVR Developer,Unitforce technologies Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Openings for Bluez Developer @ Hyderabad,Cambio Consulting,Hyderabad,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Deputy Branch Manager,HEADHUNTERS HR PVT. LTD.,Hyderabad,India,Other IT Role,,,,4.0,2.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"QA, QC & QC -micro- Injectables for Leading Pharma Company in India",BVR People Consulting,Bangalore,India,QA/Test Engineer,,,,4.5,2.0,7.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Pharmacovigilance Expert,Novartis Healthcare Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Software Analyst,Invesco (Hyderabad) Pvt Ltd,Hyderabad,India,Other IT Role,,,,11.0,10.0,12.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Research Associate - Marketing,THE INDIAN SCHOOL OF BUSINESS,Hyderabad,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Team Leader Sales Channel,Stock Holding Corporation of India Ltd,Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Senior,0,0,0,0,0,0,0,0,0,0,0
SQL Reporting - Analyst / Lead Hyderabad,Ikya Human Capital Solutions Pvt Ltd,Hyderabad,India,Other IT Role,,,,7.0,5.0,9.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Research Chemist,Neuland Laboratories Limited,Hyderabad,India,Other IT Role,,,,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Software Engineer (II),teradata corporations,Hyderabad,India,Software Engineer,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Digital Marketing Executive,QUELABS TECHNOLOGIES PVT LTD,Hyderabad,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Drive Test Engineer/ibs Engineer@ MCS Technologies,MCS Technologies PVT LTD,Hyderabad,India,QA/Test Engineer,,,,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Multiple Firewall L2 ~ L3 Schedule Interview Weekend ( Sat ) / Weekday,Ikya Human Capital Solutions Pvt Ltd,Bangalore,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
AGM / DGM - Process Engineering (formulations Injectables),BVR People Consulting,Hyderabad,India,Other IT Role,,,,16.5,13.0,20.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Outsourcing Partner Manager (APAC) , Community Operations",Facebook Inc,Hyderabad,India,Other IT Role,,,,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sales Executive - Chromatography/ Mass Spectrometry,Spinco Biotech Pvt Ltd,Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Professor- Land And Property Management,NICMAR,Hyderabad,India,Other IT Role,,,,11.5,10.0,13.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Immediate Opening For java Developer On Payrolls of Magna Infotech,Magna Infotech Pvt Ltd,Hyderabad,India,Other IT Role,13.5,2.0,25.0,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Immediate Opportunity for Data Stage Developer,Enterprise IT Solutions,Hyderabad,India,Other IT Role,,,,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Hiring for iOS Developer for one of our Client,"MINFY TECHNOLOGIES PRIVATE LIMITED,",Hyderabad,India,Mobile Developer,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
UI Professional - Mobile & Web,InfoLogitech Systems Pvt Ltd,Hyderabad,India,Mobile Developer,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Payroll END USER,HERITAGE FOODS LIMITED,Hyderabad,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
HTML5 Game Developer,Grid Logic Software Private Limited,Hyderabad,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Data Power,Unitforce technologies Pvt. Ltd.,Delhi,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sr. Java Developer,Logic Planet IT Services (India) Pvt.Ltd,Hyderabad,India,Other IT Role,,,,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Branch Sales Manager / Area Sales Manager - LAP,HEADHUNTERS HR PVT. LTD.,Bangalore,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Design Engineer 2,Xilinx India Technology Services Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
We are Hiring Freshers with Science Background in our Company,Millennium Technosoft Ltd.,Hyderabad,India,Other IT Role,,,,0.0,0.0,0.0,Junior,0,0,0,0,0,0,0,0,0,0,0
GRAPHIC DESIGNER - TOY PACKAGING / ILLUSTRATOR,Green Gold Animation Pvt Ltd,Mumbai,India,UI/UX Designer,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Java Developer Spring/hibernate Angular JS Hyderabad Location,Magna Infotech Pvt Ltd,Hyderabad,India,Frontend Developer,1.0,2.0,0.0,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Brand Executive,Continental Hospitals Limited.,Hyderabad,India,Other IT Role,26.0,2.0,50.0,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sr. Dev. Engineer,Personagraph Corporation,Hyderabad,India,Other IT Role,,,,5.0,4.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Principal Software Engineer,Oracle India Pvt. Ltd.,Hyderabad,India,Software Engineer,,,,9.0,8.0,10.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Utility Maintenance ( Bulk Drugs ).,BVR People Consulting,Hyderabad,India,Other IT Role,,,,10.5,8.0,13.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Software Developers (C / C++ / Java) for a Leading E-com Company,Careernet Technologies Pvt Ltd,Hyderabad,India,Software Engineer,,,,2.5,1.0,4.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Asia's Largest Pharma Company is Looking for Lead AR&D Development,BVR People Consulting,Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Sr RD Engineer,India Medtronic Pvt. Ltd,Hyderabad,India,Other IT Role,,,,12.5,10.0,15.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Jr.assistant - F&A,HERITAGE FOODS LIMITED,Hyderabad,India,Other IT Role,,,,2.0,1.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Android Developer,Grid Logic Software Private Limited,Hyderabad,India,Mobile Developer,,,,2.5,2.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer,RA Info,Hyderabad,India,Other IT Role,,,,6.5,5.0,8.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Openings for Network Test Automation at Hyderabad,Cambio Consulting,Hyderabad,India,QA/Test Engineer,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
PMO ..,Wissen Infotech Pvt Ltd,Hyderabad,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Ux Designer,Zenoti,Hyderabad,India,UI/UX Designer,,,,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
ERC Lead - Employee Exits,Amazon India Software Dev Centre Pvt Ltd,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Senior,0,0,0,0,0,0,0,0,0,0,0
"Medical Coding JOBS - North, EAST OR WEST Leads Straight TO THE South",Yogam BPO,Chennai,India,Other IT Role,,,,0.0,0.0,0.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Android Developer,Exadata Consulting Pvt Ltd,Hyderabad,India,Mobile Developer,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Executive to Sr.manager,BVR People Consulting,Bangalore,India,Other IT Role,,,,3.5,1.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Senior Java Developer, Angular JS Developer for Hyderabad",Magna Infotech Pvt Ltd,Hyderabad,India,Frontend Developer,25.5,1.0,50.0,4.0,3.0,5.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Senior Database Administrator - SQL / Oracle,Axis Jobs,Bangalore,India,Other IT Role,4.0,8.0,0.0,10.0,9.0,11.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Finance Executive/finance Assistant,Axis Jobs,Mumbai,India,Other IT Role,,,,1.5,0.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Build Release Engineer, 2-5 Yrs Exp, CDK Global, Hyderabad, Permanent",ViXi IT Solutions,Hyderabad,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Dot net Professional,Globus IT Inc,Hyderabad,India,Other IT Role,,,,5.5,5.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager(hr)/sr Manager(hr/agm (HR),K M V Projects Ltd,Hyderabad,India,Other IT Role,,,,17.5,15.0,20.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Urgent Opening for the Position of Sr. Database Developer(sql),Stefanini IT Solutions,Hyderabad,India,Other IT Role,,,,8.0,6.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
SAP ABAP Developer_ Hyderabad,Rectitude work force solutions Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,2.5,2.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Professor- Principles and Practice in Real Estate,NICMAR,Hyderabad,India,Other IT Role,,,,11.5,10.0,13.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Assistant Professor- Waste mngmt,NICMAR,Hyderabad,India,Other IT Role,,,,5.5,4.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Unix Admin(linux + Solaris),Unitforce technologies Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sr. Dot Net Developer,Harjai Computers Pvt Ltd,Hyderabad,India,Other IT Role,,,,6.5,5.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Pediatric Cardiac Anesthesiologists,Lotus Children?s Hospital,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
PHP / MySQL Web Developer,IT Niche India Pvt. Ltd,Hyderabad,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Lead Engineer - Plant Controls,GE,Hyderabad,India,Other IT Role,,,,9.5,7.0,12.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Hiring for Semi-tech and Technical with an it Company.lohit 9873205723,Best RPO,Bangalore,India,Other IT Role,13.5,2.0,25.0,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Scripting Specialist,Indmax IT Services,Hyderabad,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Lab Specialist,"Interactive Intelligence, Inc",Hyderabad,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager- Global Security Operations Centre,NGA HR India Pvt Ltd,Hyderabad,India,Security Engineer,,,,9.0,8.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Yogam BPO - Medical Coding,Yogam BPO,Bangalore,India,Other IT Role,1.0,2.0,0.0,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Pediatric Cardiologists,Lotus Children?s Hospital,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager Customer Service,Simpolo Emilceramica Pvt. Ltd.,Mumbai,India,Other IT Role,3.5,7.0,0.0,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Opportunity for SOA Adminstrator,Allegis Services India Pvt. Ltd.,Bangalore,India,Other IT Role,,,,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Business Analyst,BACentric Solutions,Hyderabad,India,Business Analyst,,,,3.0,2.0,4.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Sales Manager ( Credit Cards ) - Hyderabad,PMS Consulting,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager- FP&A,Kautilya Management Consultants,Hyderabad,India,Other IT Role,,,,6.5,5.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Commercial consultant,Sandoz Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,6.0,5.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Professor- RMS,NICMAR,Hyderabad,India,Other IT Role,,,,11.5,10.0,13.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Store Keeper / Warehouse Assistant,Axis Jobs,Mumbai,India,Other IT Role,,,,1.5,0.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Instrumentation / Team Member ( Bulk ).,BVR People Consulting,Hyderabad,India,Other IT Role,,,,4.0,2.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Java-nms/ems Development Engineers,Cambio Consulting,Hyderabad,India,Other IT Role,,,,6.5,5.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Perl Developer,Pentagon Global Solutions Limited,Bangalore,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager- Investigation,HEADHUNTERS HR PVT. LTD.,Hyderabad,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Marketing Executive,GIIS Hyderabad,Hyderabad,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
SAP MM Consultant,HERITAGE FOODS LIMITED,Hyderabad,India,Other IT Role,,,,2.5,2.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Migration Specialist II,Appmajix Technologies Pvt.Ltd,Hyderabad,India,Other IT Role,,,,3.5,1.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
SR. SOFTWARE ENGINEERS,"Oberon IT, Inc",Hyderabad,India,Software Engineer,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
WEBDESIGNER,iDsign Technologies,Hyderabad,India,UI/UX Designer,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Solaris Admin SME,CLIENT OF IQuest Solutions,Hyderabad,India,Other IT Role,,,,9.5,7.0,12.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Credit Risk/ Market risk Manager/ Sr. Manager Opening in Hyderabad,Ikya Human Capital Solutions Pvt Ltd,Hyderabad,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Plant IT Manager- for Pharma MNC.,BVR People Consulting,Hyderabad,India,Other IT Role,,,,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Resource Manager / Analyst,"Oberon IT, Inc",Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Database Administrator,Amazon India Software Dev Centre Pvt Ltd,Hyderabad,India,Other IT Role,,,,6.0,5.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Accounts Executive,Kellton Tech Solutions Ltd,Hyderabad,India,Other IT Role,,,,2.5,2.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Teacher ? Social Science (History and Geography) for Middle school,Indus International School,Hyderabad,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
EMC Avamar Admin L2 ~ L3 Schedule Interview on Weekend 19th March,Ikya Human Capital Solutions Pvt Ltd,Bangalore,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Professor- Urban Planning and Design,NICMAR,Hyderabad,India,Other IT Role,,,,11.5,10.0,13.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Dietician,Incor Hospitals Pvt. Ltd.,Hyderabad,India,Other IT Role,38.0,1.0,75.0,2.0,1.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Managers,Cosmos Co-operative Bank Ltd.,Mumbai,India,Other IT Role,,,,13.5,12.0,15.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Investment Accounting Oversight Senior Analyst,Franklin Templeton Inteational,Hyderabad,India,Other IT Role,,,,2.5,2.0,3.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Logistics Executive,Axis Jobs,Mumbai,India,Other IT Role,,,,2.0,0.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Junior Officer,BVR People Consulting,Hyderabad,India,Other IT Role,,,,4.0,2.0,6.0,Junior,0,0,0,0,0,0,0,0,0,0,0
Professor- IT,NICMAR,Hyderabad,India,Other IT Role,,,,11.5,10.0,13.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Project Management,KeyPoint Technologies India Pvt Ltd.,Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Manager-operations,Saaki Argus And Averil Consulting,Hyderabad,India,Other IT Role,,,,17.5,15.0,20.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Senior Physiotherapist,Delta Rig Consultants Pvt Ltd,Hyderabad,India,Other IT Role,1.0,2.0,0.0,7.5,5.0,10.0,Senior,0,0,0,0,0,0,0,0,0,0,0
UI designer,Globus IT Inc,Hyderabad,India,UI/UX Designer,,,,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
SAP PS& PPM Consultant/ Hyderabad.,Profuse HR Consultancy,Hyderabad,India,Other IT Role,,,,4.5,4.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
QC Micro - Executive to Manager - API Pharma in Hyderabad &vizag,BVR People Consulting,Hyderabad,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Customer Support- Hyderabad,Head 2 Hire,Hyderabad,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sales & Marketing Engineer,Prima Automation (India) Pvt. Ltd,Bangalore,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Deputy Manager- Institutional Sales / Hyderabad,Genuine Management Services Pvt. Limited,Hyderabad,India,Other IT Role,,,,5.5,5.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sr Financial Analyst- HNI,Franklin Templeton International,Hyderabad,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Java Developers,Exadata Consulting Pvt Ltd,Hyderabad,India,Other IT Role,,,,4.0,2.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Customer Service/support Manager Hyderabad,Ikya Human Capital Solutions Pvt Ltd,Hyderabad,India,Other IT Role,,,,7.0,5.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
F & D Chemist,Hi-tech Pharmaceuticals PVT LTD,Hyderabad,India,Other IT Role,,,,1.5,0.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
US IT Recruiter / Lead / Bench Sales - MM,2coms consulting pvt ltd,Hyderabad,India,Other IT Role,,,,12.5,10.0,15.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Job Opportunity with Trianz for Software Engineer- Dot Net,Trianz,Hyderabad,India,Software Engineer,,,,1.5,1.0,2.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Media Planner,Pentagon Global Solutions Limited,Bangalore,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Operations Engineer - 2nd Level,Pentagon Global Solutions Limited,Bangalore,India,Other IT Role,,,,4.0,2.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Technical Writer 4- ProdDev,Oracle India Pvt. Ltd.,Hyderabad,India,Other IT Role,,,,8.5,7.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Talend Developer for Level3 Company,JNET Technologies,Hyderabad,India,Other IT Role,,,,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Mainframe Trainer,Maintec Technologies,Bangalore,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
